City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Ixtapa,MX,20.7,-105.2,75.22,82,0,5.99,clear sky
212,Mayna,RU,54.1135,47.6231,29.23,92,100,16.06,overcast clouds
213,Eyl,SO,7.9803,49.8164,75.24,81,40,13.33,scattered clouds
214,Pedernales,DO,18.0384,-71.744,75.88,76,13,0.65,few clouds
215,Gryazi,RU,52.4966,39.9359,29.1,92,100,13.04,overcast clouds
216,Narsaq,GL,60.9167,-46.05,26.82,88,99,5.66,light snow
217,Ilulissat,GL,69.2167,-51.1,8.62,72,75,12.66,broken clouds
218,Kharovsk,RU,59.9642,40.1912,19.38,94,100,7.38,overcast clouds
219,Samarai,PG,-10.6167,150.6667,85.08,67,100,12.66,overcast clouds
220,La Ronge,CA,55.1001,-105.2842,4.35,88,100,17.29,overcast clouds
221,Kamaishi,JP,39.2667,141.8833,29.89,49,3,2.93,clear sky
222,Bodden Town,KY,19.2833,-81.25,73.92,69,20,5.99,few clouds
223,Loa Janan,ID,-0.583,117.095,74.16,96,100,2.8,heavy intensity rain
224,Nantucket,US,41.2835,-70.0995,27.14,67,0,5.75,clear sky
225,Aksu,CN,41.1231,80.2644,24.8,44,18,3.71,few clouds
226,Sylacauga,US,33.1732,-86.2516,55.65,50,0,0.0,clear sky
227,Pau Brasil,BR,-15.4642,-39.6511,72.46,95,37,2.68,scattered clouds
228,Acajutla,SV,13.5928,-89.8275,79.81,64,3,8.12,clear sky
229,Feijo,BR,-8.1642,-70.3536,77.58,75,96,2.33,overcast clouds
230,Derzhavinsk,KZ,51.1,66.3167,18.63,94,100,15.08,light snow
231,Kalmunai,LK,7.4167,81.8167,78.01,68,99,7.96,overcast clouds
232,Semnan,IR,35.5729,53.3971,39.45,36,100,1.28,overcast clouds
233,Arraial Do Cabo,BR,-22.9661,-42.0278,76.91,87,100,7.58,overcast clouds
234,Oktyabrskiy,RU,54.4815,53.471,28.44,85,100,18.9,overcast clouds
235,Sakakah,SA,29.9697,40.2064,45.23,57,2,9.84,clear sky
236,Port Lincoln,AU,-34.7333,135.8667,64.49,60,72,21.59,broken clouds
237,Hamilton,US,39.1834,-84.5333,36.1,68,0,0.0,clear sky
238,Klaksvik,FO,62.2266,-6.589,47.32,82,100,36.84,overcast clouds
239,Vryburg,ZA,-26.9566,24.7284,65.57,86,89,4.59,overcast clouds
240,Coihaique,CL,-45.5752,-72.0662,59.61,58,75,9.22,broken clouds
241,Moose Factory,CA,51.2585,-80.6094,-1.03,90,83,7.38,broken clouds
242,Pangnirtung,CA,66.1451,-65.7125,-30.37,94,96,3.69,overcast clouds
243,Iwanai,JP,42.9744,140.5089,27.86,66,98,10.63,overcast clouds
244,Jablah,SY,35.3614,35.9256,52.72,73,61,7.36,broken clouds
245,Shenjiamen,CN,29.9576,122.298,43.25,66,98,9.51,light rain
246,San Quintin,MX,30.4833,-115.95,61.56,61,84,10.85,broken clouds
247,Alice Springs,AU,-23.7,133.8833,80.15,78,100,19.57,overcast clouds
248,Kiama,AU,-34.6833,150.8667,89.26,68,19,5.99,few clouds
249,Tadine,NC,-21.55,167.8833,79.12,81,100,4.88,overcast clouds
250,Hofn,IS,64.2539,-15.2082,30.36,86,97,8.63,overcast clouds
251,Wukari,NG,7.85,9.7833,69.53,22,14,5.3,few clouds
252,Pierre,US,44.3683,-100.351,47.32,61,100,5.01,overcast clouds
253,Touros,BR,-5.1989,-35.4608,80.42,73,62,12.17,broken clouds
254,Sambava,MG,-14.2667,50.1667,76.14,88,100,7.99,overcast clouds
255,Saint-Francois,FR,46.4154,3.9054,34.41,79,0,6.91,clear sky
256,Kurilsk,RU,45.2333,147.8833,23.05,82,100,23.31,light snow
257,Tezu,IN,27.9167,96.1667,54.37,85,100,1.97,overcast clouds
258,Chuy,UY,-33.6971,-53.4616,63.1,63,22,9.1,few clouds
259,Okhotsk,RU,59.3833,143.3,6.8,75,94,16.44,overcast clouds
260,Grand Gaube,MU,-20.0064,57.6608,80.38,71,65,7.0,broken clouds
261,Regeneracao,BR,-6.2378,-42.6883,76.03,71,63,1.39,broken clouds
262,Chitungwiza,ZW,-18.0127,31.0756,60.39,98,14,6.67,few clouds
263,Beyneu,KZ,45.3167,55.2,33.73,81,7,15.88,clear sky
264,Kidal,ML,18.4411,1.4078,64.65,8,37,13.69,scattered clouds
